id,x,y,size,frame,track,ignore,track_fixed
3,507.5858024691358,375.75679012345677,1620,12,3,FALSE,3
4,1377.3795013850415,335.6724376731302,1444,12,5,FALSE,5
5,1217.344017094017,207.54985754985756,1404,12,4,FALSE,4
6,737.6680820948337,147.24486907289455,1413,12,7,FALSE,7
7,1069.0859491778774,120.56203288490283,1338,12,6,FALSE,6
8,984.8751007252216,106.34004834810636,1241,12,8,FALSE,8
1,629.2193832599119,881.8748898678414,1135,13,1,FALSE,1
2,1056.1751412429378,656.6732580037665,1062,13,2,FALSE,2
3,507.57633353770694,375.76701410177805,1631,13,3,FALSE,3
4,1376.9889579020014,335.0517598343685,1449,13,5,FALSE,5
5,1199.2860215053763,207.4179211469534,1395,13,4,FALSE,4
6,739.7896253602305,151.2420749279539,1388,13,7,FALSE,7
